iter	Passed	Remaining
193	434	685
194	437	683
195	439	681
196	441	679
197	443	676
198	446	674
199	448	672
200	450	670
201	452	667
202	454	665
203	456	662
204	458	660
205	460	657
206	463	656
207	465	654
208	468	651
209	470	649
210	472	647
211	474	644
212	476	642
213	479	641
214	481	638
215	483	635
216	486	633
217	488	631
218	490	629
219	492	627
220	495	625
221	497	623
222	499	621
223	502	618
224	504	616
225	506	614
226	509	612
227	511	610
228	514	608
229	516	605
230	518	603
231	520	600
232	522	598
233	524	596
234	527	594
235	529	592
236	532	590
237	534	588
238	536	586
239	538	583
240	541	581
241	543	579
242	545	577
243	547	574
244	549	572
245	551	569
246	554	567
247	556	565
248	559	563
249	561	561
250	563	558
251	565	556
252	567	553
253	569	551
254	571	549
255	573	547
256	576	544
257	578	542
258	580	539
259	582	537
260	584	535
261	586	532
262	588	530
263	591	528
264	593	526
265	595	523
266	597	521
267	599	518
268	601	516
269	604	514
270	606	512
271	608	510
272	610	507
273	612	505
274	614	503
275	616	500
276	618	498
277	621	496
278	623	494
279	626	492
280	628	489
281	630	487
282	632	485
283	634	482
284	637	480
285	639	478
286	641	475
287	643	473
288	645	471
289	647	468
290	649	466
291	652	464
292	654	462
293	656	460
294	658	457
295	660	455
296	662	453
297	665	450
298	667	448
299	669	446
300	672	444
301	674	442
302	676	440
303	679	437
304	681	435
305	683	433
306	685	431
307	687	428
308	690	426
309	692	424
310	694	421
311	696	419
312	698	417
313	701	415
314	703	413
315	705	410
316	707	408
317	709	406
318	711	403
319	713	401
320	716	399
321	718	397
322	721	395
323	723	392
324	725	390
325	727	388
326	729	386
327	732	384
328	735	382
329	737	379
330	739	377
331	742	375
332	744	373
333	747	371
334	749	369
335	751	366
336	753	364
337	755	362
338	757	359
339	759	357
340	762	355
341	764	353
342	766	351
343	768	348
344	770	346
345	773	344
346	775	341
347	777	339
348	780	337
349	782	335
350	784	333
351	787	330
352	789	328
353	791	326
354	793	324
355	796	322
356	798	319
357	800	317
358	802	315
359	804	312
360	807	310
361	809	308
362	811	306
363	814	304
364	816	302
365	818	299
366	821	297
367	823	295
368	825	293
369	828	290
370	830	288
371	832	286
372	834	284
373	836	281
374	838	279
375	840	277
376	842	275
377	845	272
378	847	270
379	849	268
380	851	265
381	854	263
382	856	261
383	858	259
384	860	257
385	862	254
386	864	252
387	866	250
388	869	248
389	871	245
390	873	243
391	875	241
392	877	238
393	879	236
394	881	234
395	883	232
396	886	230
397	888	227
398	890	225
399	892	223
400	894	220
401	896	218
402	898	216
403	901	214
404	903	212
405	906	209
406	908	207
407	910	205
408	912	203
409	914	200
410	917	198
411	919	196
412	921	194
413	923	191
414	925	189
415	927	187
416	929	185
417	932	182
418	934	180
419	936	178
420	939	176
421	941	173
422	943	171
423	945	169
424	947	167
425	950	165
426	952	162
427	954	160
428	956	158
429	958	156
430	961	153
431	963	151
432	965	149
433	967	147
434	969	144
435	972	142
436	974	140
437	976	138
438	978	135
439	981	133
440	983	131
441	985	129
442	987	127
443	989	124
444	991	122
445	993	120
446	996	118
447	998	115
448	1000	113
449	1002	111
450	1005	109
451	1007	106
452	1009	104
453	1012	102
454	1014	100
455	1016	98
456	1018	95
457	1020	93
458	1022	91
459	1024	89
460	1027	86
461	1029	84
462	1031	82
463	1033	80
464	1035	77
465	1038	75
466	1040	73
467	1042	71
468	1044	69
469	1046	66
470	1048	64
471	1050	62
472	1052	60
473	1054	57
474	1056	55
475	1059	53
476	1061	51
477	1063	48
478	1065	46
479	1067	44
480	1069	42
481	1071	40
482	1075	37
483	1078	35
484	1079	33
485	1082	31
486	1084	28
487	1086	26
488	1087	24
489	1090	22
490	1092	20
491	1095	17
492	1097	15
493	1099	13
494	1101	11
495	1103	8
496	1106	6
497	1108	4
498	1111	2
499	1113	0
